student_number,subject_code,unit_type,faculty,credit_unit,grade
23-12345,,lec,"Delos Reyes, Amelita M.",3,1.25
23-12344225,CS 211,lab,"Torres, Jay R",1,1.25
23-12345,CS 2112,lec,"Torres, Jay R",2,1.25
23-12345,GCAS 1207,lec,"Magistrado, Irene",3,1
23-123456,GCAS 17,lec,"Roxas, Jerome D.",2,1.5
23-12345,ITC 123,lab,,1,1
23-12345,ITC 123,,"Santiago, Archie G.",,1
23-12345,,lab,"Torres, Jay R",1,1.25
23-12345,ITC 124,lec,"Torres, Jay R",2,1.25
23-12345,ITC 125,lab,,1,1.25
,ITC 125,lec,"Carpio, Jennifer",2,1.25
23-12345,STAT 01C,lec,"Abalos, Zenaida",3,
